courseProvider,'ABC Awards','CPD Accreditation Group','CPD Accretion Group','CPD accrediting','Institute of Financial Accountants','Institute of Hospitality',"'Institute of Hospitality', 'CPD Accreditation Group'",'PEOPLECERT','The CPD Accreditation Group','The CPD Certification Service',"'The CPD Certification Service', 'Institute of Hospitality'",'The CPD Group','The CPD Standards Office','The Institute Of Hospitality','The Institute of Hospitality',"'Training Qualifications UK Ltd', 'CPD Accreditation Group'","'Training Qualifications UK Ltd', 'Ofqual'","'Training Qualifications UK Ltd', 'The CPD Group'",'missing'
Be-a.co.uk,0,0,0,0,0,0,0,0,0,2413,0,0,0,0,0,0,0,0,288
Brentwood Open learning College,1285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPD Courses,2309,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0
Centre of Excellence,0,0,0,0,0,0,0,0,0,1411,0,0,39,0,0,0,0,0,0
Course Gate,800,712,22,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,322
Euston College,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Excel with Business,0,0,0,0,0,0,0,0,0,652,0,0,0,0,0,0,0,0,6
Janets,0,578,15,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,760
OfCourse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758
One Education,0,1484,0,0,0,0,0,377,0,0,0,0,0,0,0,798,128,45,83
Oplex Careers,0,0,0,0,0,0,0,0,0,1975,0,0,0,0,0,0,0,0,0
Oxford Home Study College,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Training Terminal,0,0,0,0,0,70,0,0,0,0,0,0,14,33,50,0,0,0,491
Training Express Ltd,0,68,0,0,0,0,0,0,0,216,60,0,0,0,0,0,0,0,0
Trendimi,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,38
